Orthogroup	E_dermatitidis_DCF04.aa	E_dermatitidis_NIHUT8656.aa
OG0000592	HRR76_007946-T1	HMPREF1120_07712
OG0000593	HRR76_001002-T1	HMPREF1120_00970
OG0000594	HRR76_005931-T1	HMPREF1120_05708
OG0000595	HRR76_005924-T1	HMPREF1120_05700
OG0000596	HRR76_007055-T1	HMPREF1120_06851
OG0000597	HRR76_005132-T1	HMPREF1120_04927
OG0000598	HRR76_001011-T1	HMPREF1120_00980
OG0000599	HRR76_007149-T1	HMPREF1120_06941
OG0000600	HRR76_003337-T1	HMPREF1120_03179
OG0000601	HRR76_005534-T1	HMPREF1120_05312
OG0000602	HRR76_004126-T1	HMPREF1120_03937
OG0000603	HRR76_001352-T1	HMPREF1120_01305
OG0000604	HRR76_007305-T1	HMPREF1120_07089
OG0000605	HRR76_009244-T1	HMPREF1120_08928
OG0000606	HRR76_003846-T1	HMPREF1120_03681
OG0000607	HRR76_000753-T1	HMPREF1120_00732
OG0000608	HRR76_007384-T1	HMPREF1120_07163
OG0000609	HRR76_002596-T1	HMPREF1120_02478
OG0000610	HRR76_009593-T1	HMPREF1120_09267
OG0000611	HRR76_000669-T1	HMPREF1120_00651
OG0000612	HRR76_009084-T1	HMPREF1120_08761
OG0000613	HRR76_003695-T1	HMPREF1120_03534
OG0000614	HRR76_005741-T1	HMPREF1120_05513
OG0000615	HRR76_006420-T1	HMPREF1120_06187
OG0000616	HRR76_001620-T1	HMPREF1120_01565
OG0000617	HRR76_001891-T1	HMPREF1120_01822
OG0000618	HRR76_009005-T1	HMPREF1120_08683
OG0000619	HRR76_004637-T1	HMPREF1120_04447
OG0000620	HRR76_008324-T1	HMPREF1120_08038
OG0000621	HRR76_002716-T1	HMPREF1120_02593
OG0000622	HRR76_004553-T1	HMPREF1120_04363
OG0000623	HRR76_006270-T1	HMPREF1120_06044
OG0000624	HRR76_007464-T1	HMPREF1120_07241
OG0000625	HRR76_006323-T1	HMPREF1120_06097
OG0000626	HRR76_000146-T1	HMPREF1120_00150
OG0000627	HRR76_000949-T1	HMPREF1120_00918
OG0000628	HRR76_003149-T1	HMPREF1120_02991
OG0000629	HRR76_003946-T1	HMPREF1120_03763
OG0000630	HRR76_001083-T1	HMPREF1120_01052
OG0000631	HRR76_001192-T1	HMPREF1120_01154
OG0000632	HRR76_007337-T1	HMPREF1120_07115
OG0000633	HRR76_001991-T1	HMPREF1120_01917
OG0000634	HRR76_001060-T1	HMPREF1120_01029
OG0000635	HRR76_001243-T1	HMPREF1120_01202
OG0000636	HRR76_005689-T1	HMPREF1120_05463
OG0000637	HRR76_000076-T1	HMPREF1120_00080
OG0000638	HRR76_002565-T1	HMPREF1120_02449
OG0000639	HRR76_003666-T1	HMPREF1120_03503
OG0000640	HRR76_005750-T1	HMPREF1120_05525
OG0000641	HRR76_006180-T1	HMPREF1120_05944
OG0000642	HRR76_006268-T1	HMPREF1120_06042
OG0000643	HRR76_008164-T1	HMPREF1120_06566
OG0000644	HRR76_008562-T1	HMPREF1120_08271
OG0000645	HRR76_001297-T1	HMPREF1120_01253
OG0000646	HRR76_004684-T1	HMPREF1120_04494
OG0000647	HRR76_006163-T1	HMPREF1120_05930
OG0000648	HRR76_004605-T1	HMPREF1120_04416
OG0000649	HRR76_000849-T1	HMPREF1120_00826
OG0000650	HRR76_001714-T1	HMPREF1120_01661
OG0000651	HRR76_008185-T1	HMPREF1120_07901
OG0000652	HRR76_003606-T1	HMPREF1120_03445
OG0000653	HRR76_001618-T1	HMPREF1120_01563
OG0000654	HRR76_006418-T1	HMPREF1120_06185
OG0000655	HRR76_002505-T1	HMPREF1120_02394
OG0000656	HRR76_009096-T1	HMPREF1120_08773
OG0000657	HRR76_008104-T1	HMPREF1120_07863
OG0000658	HRR76_002093-T1	HMPREF1120_02003
OG0000659	HRR76_003619-T1	HMPREF1120_03458
OG0000660	HRR76_002827-T1	HMPREF1120_02701
OG0000661	HRR76_008914-T1	HMPREF1120_08594
OG0000662	HRR76_007859-T1	HMPREF1120_07631
OG0000663	HRR76_007396-T1	HMPREF1120_07176
OG0000664	HRR76_008502-T1	HMPREF1120_08215
OG0000665	HRR76_002182-T1	HMPREF1120_02093
OG0000666	HRR76_008259-T1	HMPREF1120_07973
OG0000667	HRR76_006913-T1	HMPREF1120_06709
OG0000668	HRR76_004665-T1	HMPREF1120_04474
OG0000669	HRR76_005570-T1	HMPREF1120_05345
OG0000670	HRR76_002981-T1	HMPREF1120_02850
OG0000671	HRR76_006103-T1	HMPREF1120_05869
OG0000672	HRR76_008456-T1	HMPREF1120_08169
OG0000673	HRR76_002047-T1	HMPREF1120_11009
OG0000674	HRR76_007125-T1	HMPREF1120_06919
OG0000675	HRR76_008791-T1	HMPREF1120_08492
OG0000676	HRR76_000588-T1	HMPREF1120_00572
OG0000677	HRR76_004056-T1	HMPREF1120_03865
OG0000678	HRR76_003438-T1	HMPREF1120_03277
OG0000679	HRR76_005130-T1	HMPREF1120_04925
OG0000680	HRR76_004945-T1	HMPREF1120_04744
OG0000681	HRR76_006639-T1	HMPREF1120_06408
OG0000682	HRR76_001439-T1	HMPREF1120_01387
OG0000683	HRR76_001000-T1	HMPREF1120_00968
OG0000684	HRR76_003523-T1	HMPREF1120_03359
OG0000685	HRR76_001236-T1	HMPREF1120_01196
OG0000686	HRR76_007156-T1	HMPREF1120_06947
OG0000687	HRR76_008275-T1	HMPREF1120_07990
OG0000688	HRR76_002769-T1	HMPREF1120_02645
OG0000689	HRR76_007959-T1	HMPREF1120_07724
OG0000690	HRR76_002927-T1	HMPREF1120_02801
OG0000691	HRR76_008814-T1	HMPREF1120_08515
OG0000692	HRR76_000133-T1	HMPREF1120_00137
OG0000693	HRR76_002653-T1	HMPREF1120_02532
OG0000694	HRR76_007797-T1	HMPREF1120_07568
OG0000695	HRR76_002471-T1	HMPREF1120_02361
OG0000696	HRR76_001586-T1	HMPREF1120_01531
OG0000697	HRR76_007404-T1	HMPREF1120_07182
OG0000698	HRR76_002272-T1	HMPREF1120_02178
OG0000699	HRR76_007875-T1	HMPREF1120_07644
OG0000700	HRR76_002537-T1	HMPREF1120_02421
OG0000701	HRR76_006813-T1	HMPREF1120_06614
OG0000702	HRR76_004025-T1	HMPREF1120_03835
OG0000703	HRR76_004773-T1	HMPREF1120_04580
OG0000704	HRR76_007214-T1	HMPREF1120_07002
OG0000705	HRR76_005568-T1	HMPREF1120_05343
OG0000706	HRR76_002881-T1	HMPREF1120_02755
OG0000707	HRR76_002221-T1	HMPREF1120_02128
OG0000708	HRR76_002422-T1	HMPREF1120_02317
OG0000709	HRR76_007517-T1	HMPREF1120_07294
OG0000710	HRR76_002234-T1	HMPREF1120_02139
OG0000711	HRR76_003833-T1	HMPREF1120_03670
OG0000712	HRR76_004696-T1	HMPREF1120_04507
OG0000713	HRR76_002177-T1	HMPREF1120_02087
OG0000714	HRR76_004845-T1	HMPREF1120_04648
OG0000715	HRR76_000609-T1	HMPREF1120_00592
OG0000716	HRR76_008425-T1	HMPREF1120_08137
OG0000717	HRR76_007743-T1	HMPREF1120_07511
OG0000718	HRR76_009065-T1	HMPREF1120_08742
OG0000719	HRR76_000573-T1	HMPREF1120_00557
OG0000720	HRR76_000616-T1	HMPREF1120_00599
OG0000721	HRR76_000414-T1	HMPREF1120_00405
OG0000722	HRR76_005499-T1	HMPREF1120_05276
OG0000723	HRR76_007933-T1	HMPREF1120_07699
OG0000724	HRR76_005296-T1	HMPREF1120_05096
OG0000725	HRR76_006047-T1	HMPREF1120_05814
OG0000726	HRR76_001062-T2	HMPREF1120_01031
OG0000727	HRR76_000285-T1	HMPREF1120_00284
OG0000728	HRR76_000204-T1	HMPREF1120_00208
OG0000729	HRR76_001190-T1	HMPREF1120_01152
OG0000730	HRR76_004707-T1	HMPREF1120_04518
OG0000731	HRR76_000956-T1	HMPREF1120_00925
OG0000732	HRR76_000045-T1	HMPREF1120_00052
OG0000733	HRR76_007523-T1	HMPREF1120_07300
OG0000734	HRR76_006287-T1	HMPREF1120_06060
OG0000735	HRR76_004494-T1	HMPREF1120_04294
OG0000736	HRR76_007438-T1	HMPREF1120_07217
OG0000737	HRR76_000159-T1	HMPREF1120_00164
OG0000738	HRR76_002639-T1	HMPREF1120_02518
OG0000739	HRR76_002418-T1	HMPREF1120_02313
OG0000740	HRR76_006505-T1	HMPREF1120_06274
OG0000741	HRR76_007619-T1	HMPREF1120_07390
OG0000742	HRR76_006584-T1	HMPREF1120_06354
OG0000743	HRR76_001341-T1	HMPREF1120_01295
OG0000744	HRR76_008560-T1	HMPREF1120_08269
OG0000745	HRR76_007606-T1	HMPREF1120_07376
OG0000746	HRR76_009454-T1	HMPREF1120_09129
OG0000747	HRR76_006093-T1	HMPREF1120_05859
OG0000748	HRR76_009119-T1	HMPREF1120_08792
OG0000749	HRR76_008094-T1	HMPREF1120_07853
OG0000750	HRR76_009106-T1	HMPREF1120_08781
OG0000751	HRR76_003396-T1	HMPREF1120_03237
OG0000752	HRR76_000825-T1	HMPREF1120_00801
OG0000753	HRR76_006981-T1	HMPREF1120_06774
OG0000754	HRR76_003975-T1	HMPREF1120_03791
OG0000755	HRR76_002913-T1	HMPREF1120_02788
OG0000756	HRR76_008583-T1	HMPREF1120_08294
OG0000757	HRR76_007833-T1	HMPREF1120_07606
OG0000758	HRR76_008138-T2	HMPREF1120_06591
OG0000759	HRR76_006221-T1	HMPREF1120_05991
OG0000760	HRR76_006422-T1	HMPREF1120_06189
OG0000761	HRR76_001622-T1	HMPREF1120_01567
OG0000762	HRR76_000175-T1	HMPREF1120_00180
OG0000763	HRR76_003365-T1	HMPREF1120_03208
OG0000764	HRR76_003517-T1	HMPREF1120_03353
OG0000765	HRR76_000399-T1	HMPREF1120_00390
OG0000766	HRR76_005314-T1	HMPREF1120_05113
OG0000767	HRR76_000856-T1	HMPREF1120_00832
OG0000768	HRR76_003743-T1	HMPREF1120_03581
OG0000769	HRR76_008233-T1	HMPREF1120_07945
OG0000770	HRR76_006177-T1	HMPREF1120_05941
OG0000771	HRR76_001350-T1	HMPREF1120_01304
OG0000772	HRR76_008654-T1	HMPREF1120_08361
OG0000773	HRR76_003959-T1	HMPREF1120_03775
OG0000774	HRR76_003156-T2	HMPREF1120_03001
OG0000775	HRR76_008578-T1	HMPREF1120_08289
OG0000776	HRR76_006927-T1	HMPREF1120_06722
OG0000777	HRR76_001958-T1	HMPREF1120_01887
OG0000778	HRR76_000535-T1	HMPREF1120_00521
OG0000779	HRR76_006471-T1	HMPREF1120_06240
OG0000780	HRR76_001671-T1	HMPREF1120_01617
OG0000781	HRR76_006272-T1	HMPREF1120_06046
OG0000782	HRR76_005265-T1	HMPREF1120_05063
OG0000783	HRR76_001453-T1	HMPREF1120_01400
OG0000784	HRR76_006653-T1	HMPREF1120_06421
OG0000785	HRR76_006881-T1	HMPREF1120_06680
OG0000786	HRR76_000925-T1	HMPREF1120_00895
OG0000787	HRR76_003797-T1	HMPREF1120_03634
OG0000788	HRR76_006537-T1	HMPREF1120_06305
OG0000789	HRR76_002813-T1	HMPREF1120_02688
OG0000790	HRR76_003404-T1	HMPREF1120_03245
OG0000791	HRR76_003875-T1	HMPREF1120_03694
OG0000792	HRR76_004141-T1	HMPREF1120_03951
OG0000793	HRR76_000108-T1	HMPREF1120_00112
OG0000794	HRR76_002791-T1	HMPREF1120_02666
OG0000795	HRR76_007477-T1	HMPREF1120_07253
OG0000796	HRR76_007050-T1	HMPREF1120_06846
OG0000797	HRR76_000918-T1	HMPREF1120_00890
OG0000798	HRR76_007531-T1	HMPREF1120_07306
OG0000799	HRR76_008047-T1	HMPREF1120_07804
OG0000800	HRR76_005546-T1	HMPREF1120_05322
OG0000801	HRR76_004493-T1	HMPREF1120_04293
OG0000802	HRR76_007887-T1	HMPREF1120_07656
OG0000803	HRR76_004998-T1	HMPREF1120_04794
OG0000804	HRR76_007122-T1	HMPREF1120_06915
OG0000805	HRR76_000203-T1	HMPREF1120_00207
OG0000806	HRR76_007934-T1	HMPREF1120_07700
OG0000807	HRR76_000413-T1	HMPREF1120_00404
OG0000808	HRR76_009350-T1	HMPREF1120_09030
OG0000809	HRR76_007921-T1	HMPREF1120_07688
OG0000810	HRR76_002104-T1	HMPREF1120_02013
OG0000811	HRR76_008093-T1	HMPREF1120_07852
OG0000812	HRR76_007171-T1	HMPREF1120_06962
OG0000813	HRR76_002914-T1	HMPREF1120_02789
OG0000814	HRR76_008584-T1	HMPREF1120_08295
OG0000815	HRR76_008827-T1	HMPREF1120_08527
OG0000816	HRR76_004447-T1	HMPREF1120_04251
OG0000817	HRR76_006560-T1	HMPREF1120_06330
OG0000818	HRR76_004662-T1	HMPREF1120_04471
OG0000819	HRR76_002185-T1	HMPREF1120_02096
OG0000820	HRR76_008505-T1	HMPREF1120_08219
OG0000821	HRR76_002259-T1	HMPREF1120_02164
OG0000822	HRR76_000310-T1	HMPREF1120_00302
OG0000823	HRR76_008981-T1	HMPREF1120_08660
OG0000824	HRR76_006094-T1	HMPREF1120_05860
OG0000825	HRR76_002511-T1	HMPREF1120_02399
OG0000826	HRR76_002456-T1	HMPREF1120_02347
OG0000827	HRR76_001809-T1	HMPREF1120_01750
OG0000828	HRR76_003808-T1	HMPREF1120_03643
OG0000829	HRR76_002502-T1	HMPREF1120_02390
OG0000830	HRR76_008182-T1	HMPREF1120_07898
OG0000831	HRR76_001816-T1	HMPREF1120_01756
OG0000832	HRR76_009062-T1	HMPREF1120_08739
OG0000833	HRR76_000818-T1	HMPREF1120_00794
OG0000834	HRR76_004842-T1	HMPREF1120_04646
OG0000835	HRR76_003744-T1	HMPREF1120_03582
OG0000836	HRR76_008422-T1	HMPREF1120_08134
OG0000837	HRR76_003300-T1	HMPREF1120_03141
OG0000838	HRR76_009190-T1	HMPREF1120_08867
OG0000839	HRR76_007987-T1	HMPREF1120_07749
OG0000840	HRR76_006138-T1	HMPREF1120_05905
OG0000841	HRR76_008234-T1	HMPREF1120_07946
OG0000842	HRR76_004898-T1	HMPREF1120_04700
OG0000843	HRR76_004071-T1	HMPREF1120_03879
OG0000844	HRR76_005313-T1	HMPREF1120_05112
OG0000845	HRR76_006233-T1	HMPREF1120_06004
OG0000846	HRR76_008177-T1	HMPREF1120_07894
OG0000847	HRR76_007834-T1	HMPREF1120_07607
OG0000848	HRR76_007362-T1	HMPREF1120_07141
OG0000849	HRR76_007690-T1	HMPREF1120_07463
OG0000850	HRR76_007482-T1	HMPREF1120_07258
OG0000851	HRR76_008769-T1	HMPREF1120_08469
OG0000852	HRR76_006578-T1	HMPREF1120_06348
OG0000853	HRR76_004022-T1	HMPREF1120_03833
OG0000854	HRR76_003403-T1	HMPREF1120_03244
OG0000855	HRR76_002814-T2	HMPREF1120_02689
OG0000856	HRR76_003213-T1	HMPREF1120_03057
OG0000857	HRR76_009341-T1	HMPREF1120_09021
OG0000858	HRR76_002275-T1	HMPREF1120_02181
OG0000859	HRR76_007872-T1	HMPREF1120_07641
OG0000860	HRR76_001454-T1	HMPREF1120_01401
OG0000861	HRR76_007041-T1	HMPREF1120_06835
OG0000862	HRR76_001119-T1	HMPREF1120_01084
OG0000863	HRR76_005200-T1	HMPREF1120_04993
OG0000864	HRR76_008537-T1	HMPREF1120_08249
OG0000865	HRR76_005036-T1	HMPREF1120_04830
OG0000866	HRR76_008881-T1	HMPREF1120_08559
OG0000867	HRR76_001106-T1	HMPREF1120_01073
OG0000868	HRR76_008653-T1	HMPREF1120_08360
OG0000869	HRR76_005410-T1	HMPREF1120_05187
OG0000870	HRR76_001916-T2	HMPREF1120_01846
OG0000871	HRR76_008471-T1	HMPREF1120_08184
OG0000872	HRR76_008272-T1	HMPREF1120_07987
OG0000873	HRR76_003118-T1	HMPREF1120_02958
OG0000874	HRR76_003972-T1	HMPREF1120_03788
OG0000875	HRR76_000822-T1	HMPREF1120_00798
OG0000876	HRR76_006104-T1	HMPREF1120_05870
OG0000877	HRR76_000361-T1	HMPREF1120_00353
OG0000878	HRR76_008208-T1	HMPREF1120_07920
OG0000879	HRR76_008418-T1	HMPREF1120_08130
OG0000880	HRR76_006185-T1	HMPREF1120_05950
OG0000881	HRR76_005755-T1	HMPREF1120_05530
OG0000882	HRR76_007808-T1	HMPREF1120_07580
OG0000883	HRR76_006456-T1	HMPREF1120_06223
OG0000884	HRR76_001656-T1	HMPREF1120_01602
OG0000885	HRR76_008103-T1	HMPREF1120_07862
OG0000886	HRR76_009586-T1	HMPREF1120_09261
OG0000887	HRR76_006259-T1	HMPREF1120_06034
OG0000888	HRR76_008913-T1	HMPREF1120_08592
OG0000889	HRR76_003227-T1	HMPREF1120_03070
OG0000890	HRR76_006502-T1	HMPREF1120_06271
OG0000891	HRR76_000187-T1	HMPREF1120_00192
OG0000892	HRR76_003531-T1	HMPREF1120_03367
OG0000893	HRR76_006791-T1	HMPREF1120_06552
OG0000894	HRR76_003524-T1	HMPREF1120_03360
OG0000895	HRR76_003887-T1	HMPREF1120_03706
OG0000896	HRR76_000042-T1	HMPREF1120_00049
OG0000897	HRR76_003477-T1	HMPREF1120_03315
OG0000898	HRR76_000098-T1	HMPREF1120_00102
OG0000899	HRR76_008639-T1	HMPREF1120_08346
OG0000900	HRR76_001065-T1	HMPREF1120_01034
OG0000901	HRR76_000481-T1	HMPREF1120_00468
OG0000902	HRR76_000282-T1	HMPREF1120_00280
OG0000903	HRR76_002578-T1	HMPREF1120_02461
OG0000904	HRR76_004774-T1	HMPREF1120_04581
OG0000905	HRR76_007213-T1	HMPREF1120_07001
OG0000906	HRR76_003872-T1	HMPREF1120_03691
OG0000907	HRR76_006814-T1	HMPREF1120_06615
OG0000908	HRR76_003482-T1	HMPREF1120_03320
OG0000909	HRR76_005461-T1	HMPREF1120_05238
OG0000910	HRR76_000134-T1	HMPREF1120_00138
OG0000911	HRR76_002654-T1	HMPREF1120_02533
OG0000912	HRR76_000121-T1	HMPREF1120_00124
OG0000913	HRR76_000532-T1	HMPREF1120_00519
OG0000914	HRR76_007908-T1	HMPREF1120_07675
OG0000915	HRR76_008813-T1	HMPREF1120_08514
OG0000916	HRR76_005779-T1	HMPREF1120_05556
OG0000917	HRR76_007118-T1	HMPREF1120_06911
OG0000918	HRR76_003041-T1	HMPREF1120_02908
OG0000919	HRR76_000277-T1	HMPREF1120_00276
OG0000920	HRR76_007744-T1	HMPREF1120_07512
OG0000921	HRR76_007300-T1	HMPREF1120_07084
OG0000922	HRR76_005726-T1	HMPREF1120_05499
OG0000923	HRR76_000658-T1	HMPREF1120_00640
OG0000924	HRR76_002138-T1	HMPREF1120_02049
OG0000925	HRR76_000427-T1	HMPREF1120_00417
OG0000926	HRR76_005167-T1	HMPREF1120_04962
OG0000927	HRR76_000971-T1	HMPREF1120_00940
OG0000928	HRR76_004732-T1	HMPREF1120_04542
OG0000929	HRR76_003834-T1	HMPREF1120_03671
OG0000930	HRR76_003821-T1	HMPREF1120_03658
OG0000931	HRR76_003362-T1	HMPREF1120_03206
OG0000932	HRR76_005381-T1	HMPREF1120_05155
OG0000933	HRR76_003690-T1	HMPREF1120_03528
OG0000934	HRR76_000172-T1	HMPREF1120_00177
OG0000935	HRR76_009439-T1	HMPREF1120_09114
OG0000936	HRR76_006425-T1	HMPREF1120_06192
OG0000937	HRR76_002233-T1	HMPREF1120_02138
OG0000938	HRR76_009236-T1	HMPREF1120_08921
OG0000939	HRR76_000803-T1	HMPREF1120_00781
OG0000940	HRR76_008050-T1	HMPREF1120_07809
OG0000941	HRR76_008477-T1	HMPREF1120_08190
OG0000942	HRR76_007047-T1	HMPREF1120_06843
OG0000943	HRR76_008531-T1	HMPREF1120_08243
OG0000944	HRR76_008887-T1	HMPREF1120_08566
OG0000945	HRR76_008524-T1	HMPREF1120_08236
OG0000946	HRR76_006933-T1	HMPREF1120_06728
OG0000947	HRR76_006438-T1	HMPREF1120_06205
OG0000948	HRR76_009347-T1	HMPREF1120_09027
OG0000949	HRR76_001638-T1	HMPREF1120_01584
OG0000950	HRR76_008122-T1	HMPREF1120_07881
OG0000951	HRR76_007287-T1	HMPREF1120_07071
OG0000952	HRR76_008934-T1	HMPREF1120_08613
OG0000953	HRR76_006523-T1	HMPREF1120_06291
OG0000954	HRR76_008921-T3	HMPREF1120_08601
OG0000955	HRR76_005110-T1	HMPREF1120_04905
OG0000956	HRR76_008171-T1	HMPREF1120_06559
OG0000957	HRR76_001209-T1	HMPREF1120_01170
OG0000958	HRR76_003418-T1	HMPREF1120_03260
OG0000959	HRR76_002859-T1	HMPREF1120_02735
OG0000960	HRR76_001406-T1	HMPREF1120_01354
OG0000961	HRR76_006606-T1	HMPREF1120_06376
OG0000962	HRR76_004450-T1	HMPREF1120_04254
OG0000963	HRR76_004077-T1	HMPREF1120_03885
OG0000964	HRR76_001552-T1	HMPREF1120_01496
OG0000965	HRR76_008972-T1	HMPREF1120_08652
OG0000966	HRR76_007505-T1	HMPREF1120_07283
OG0000967	HRR76_001419-T1	HMPREF1120_01367
OG0000968	HRR76_006619-T1	HMPREF1120_06390
OG0000969	HRR76_003208-T1	HMPREF1120_03052
OG0000970	HRR76_001154-T1	HMPREF1120_01117
OG0000971	HRR76_008227-T1	HMPREF1120_07939
OG0000972	HRR76_007981-T1	HMPREF1120_07743
OG0000973	HRR76_009393-T1	HMPREF1120_09072
OG0000974	HRR76_002396-T1	HMPREF1120_02296
OG0000975	HRR76_003913-T1	HMPREF1120_03731
OG0000976	HRR76_007182-T1	HMPREF1120_06973
OG0000977	HRR76_002975-T1	HMPREF1120_02844
OG0000978	HRR76_000903-T1	HMPREF1120_00875
OG0000979	HRR76_007422-T1	HMPREF1120_07201
OG0000980	HRR76_002365-T1	HMPREF1120_02265
OG0000981	HRR76_007221-T1	HMPREF1120_07008
OG0000982	HRR76_008987-T1	HMPREF1120_08667
OG0000983	HRR76_006833-T1	HMPREF1120_06633
OG0000984	HRR76_000218-T1	HMPREF1120_00219
OG0000985	HRR76_004193-T1	HMPREF1120_03997
OG0000986	HRR76_002743-T1	HMPREF1120_02618
OG0000987	HRR76_007177-T1	HMPREF1120_06968
OG0000988	HRR76_008690-T1	HMPREF1120_08393
OG0000989	HRR76_000408-T1	HMPREF1120_00398
OG0000990	HRR76_008362-T1	HMPREF1120_08076
OG0000991	HRR76_004242-T1	HMPREF1120_04046
OG0000992	HRR76_008821-T1	HMPREF1120_08522
OG0000993	HRR76_008281-T1	HMPREF1120_07998
OG0000994	HRR76_008482-T1	HMPREF1120_08195
OG0000995	HRR76_007769-T1	HMPREF1120_07540
OG0000996	HRR76_007927-T1	HMPREF1120_07694
OG0000997	HRR76_005800-T1	HMPREF1120_05577
OG0000998	HRR76_009153-T1	HMPREF1120_08829
OG0000999	HRR76_008872-T1	HMPREF1120_08550
OG0001000	HRR76_000636-T1	HMPREF1120_00618
OG0001001	HRR76_002214-T1	HMPREF1120_02122
OG0001002	HRR76_008041-T1	HMPREF1120_07799
OG0001003	HRR76_007881-T1	HMPREF1120_07650
OG0001004	HRR76_002797-T1	HMPREF1120_02672
OG0001005	HRR76_004147-T1	HMPREF1120_03957
OG0001006	HRR76_002404-T1	HMPREF1120_02304
OG0001007	HRR76_002875-T1	HMPREF1120_02749
OG0001008	HRR76_007272-T1	HMPREF1120_07056
OG0001009	HRR76_009258-T1	HMPREF1120_08942
OG0001010	HRR76_003813-T1	HMPREF1120_03650
OG0001011	HRR76_007471-T1	HMPREF1120_07247
OG0001012	HRR76_006859-T1	HMPREF1120_06656
OG0001013	HRR76_002606-T1	HMPREF1120_02487
OG0001014	HRR76_003505-T1	HMPREF1120_03340
OG0001015	HRR76_001770-T1	HMPREF1120_01713
OG0001016	HRR76_007208-T1	HMPREF1120_06997
OG0001017	HRR76_002619-T1	HMPREF1120_02498
OG0001018	HRR76_000977-T1	HMPREF1120_00946
OG0001019	HRR76_003584-T1	HMPREF1120_03423
OG0001020	HRR76_003827-T1	HMPREF1120_03664
OG0001021	HRR76_007103-T1	HMPREF1120_06899
OG0001022	HRR76_000421-T1	HMPREF1120_00411
OG0001023	HRR76_008808-T1	HMPREF1120_08509
OG0001024	HRR76_000222-T1	HMPREF1120_00223
OG0001025	HRR76_007913-T1	HMPREF1120_07680
OG0001026	HRR76_003182-T1	HMPREF1120_03027
OG0001027	HRR76_005161-T1	HMPREF1120_04956
OG0001028	HRR76_000434-T1	HMPREF1120_00424
OG0001029	HRR76_006975-T1	HMPREF1120_06768
OG0001030	HRR76_005962-T1	HMPREF1120_05736
OG0001031	HRR76_004566-T1	HMPREF1120_04375
OG0001032	HRR76_006396-T1	HMPREF1120_06165
OG0001033	HRR76_003047-T1	HMPREF1120_02914
OG0001034	HRR76_000472-T1	HMPREF1120_00459
OG0001035	HRR76_009139-T1	HMPREF1120_08814
OG0001036	HRR76_006125-T1	HMPREF1120_05892
OG0001037	HRR76_002933-T1	HMPREF1120_02806
OG0001038	HRR76_000882-T1	HMPREF1120_00854
OG0001039	HRR76_005467-T1	HMPREF1120_05243
OG0001040	HRR76_003287-T1	HMPREF1120_03129
OG0001041	HRR76_005642-T1	HMPREF1120_05420
OG0001042	HRR76_007639-T1	HMPREF1120_07413
OG0001043	HRR76_002438-T1	HMPREF1120_02329
OG0001044	HRR76_000127-T1	HMPREF1120_00131
OG0001045	HRR76_000766-T1	HMPREF1120_00744
OG0001046	HRR76_009526-T1	HMPREF1120_09201
OG0001047	HRR76_002523-T1	HMPREF1120_02412
OG0001048	HRR76_006959-T1	HMPREF1120_06753
OG0001049	HRR76_008213-T1	HMPREF1120_07925
OG0001050	HRR76_000487-T1	HMPREF1120_00474
OG0001051	HRR76_001768-T1	HMPREF1120_01711
OG0001052	HRR76_000877-T1	HMPREF1120_00849
OG0001053	HRR76_003769-T1	HMPREF1120_03606
OG0001054	HRR76_003927-T1	HMPREF1120_03744
OG0001055	HRR76_000795-T1	HMPREF1120_00774
OG0001056	HRR76_004339-T1	HMPREF1120_04138
OG0001057	HRR76_006156-T1	HMPREF1120_05922
OG0001058	HRR76_005786-T1	HMPREF1120_05563
OG0001059	HRR76_008908-T1	HMPREF1120_08587
OG0001060	HRR76_006485-T1	HMPREF1120_06254
OG0001061	HRR76_001685-T1	HMPREF1120_01631
OG0001062	HRR76_003653-T1	HMPREF1120_03490
OG0001063	HRR76_009555-T1	HMPREF1120_09230
OG0001064	HRR76_008118-T1	HMPREF1120_07877
OG0001065	HRR76_006214-T1	HMPREF1120_05985
OG0001066	HRR76_003272-T1	HMPREF1120_03114
OG0001067	HRR76_003471-T1	HMPREF1120_03310
OG0001068	HRR76_007813-T1	HMPREF1120_07585
OG0001069	HRR76_006875-T1	HMPREF1120_06673
OG0001070	HRR76_001604-T1	HMPREF1120_01548
OG0001071	HRR76_003537-T1	HMPREF1120_03374
OG0001072	HRR76_004715-T1	HMPREF1120_04526
OG0001073	HRR76_003881-T1	HMPREF1120_03700
OG0001074	HRR76_005321-T1	HMPREF1120_05119
OG0001075	HRR76_004003-T1	HMPREF1120_03815
OG0001076	HRR76_003422-T2	HMPREF1120_03264
OG0001077	HRR76_008744-T1	HMPREF1120_08447
OG0001078	HRR76_003221-T1	HMPREF1120_03063
OG0001079	HRR76_000181-T1	HMPREF1120_00186
OG0001080	HRR76_008300-T1	HMPREF1120_08015
OG0001081	HRR76_006517-T1	HMPREF1120_06285
OG0001082	HRR76_002833-T1	HMPREF1120_02707
OG0001083	HRR76_004595-T1	HMPREF1120_04405
OG0001084	HRR76_006365-T1	HMPREF1120_06136
OG0001085	HRR76_000982-T1	HMPREF1120_00950
OG0001086	HRR76_005058-T1	HMPREF1120_04853
OG0001087	HRR76_006743-T1	HMPREF1120_06503
OG0001088	HRR76_000515-T1	HMPREF1120_00501
OG0001089	HRR76_007185-T1	HMPREF1120_06976
